"lat","spring","autumn","warm_days"
39.5,127.161652005409,272.143559265059,144.98190725965
39.75,128.696752848874,270.968980948148,142.272228099274
40,129.269752205047,270.567880547658,141.298128342611
40.25,130.48037587959,270.013435293963,139.533059414373
40.5,131.161748927631,269.683091211031,138.521342283401
40.75,132.472346226704,268.904568447053,136.432222220349
41,133.046918175117,268.425016169928,135.378097994811
41.25,134.227644441875,268.290499671044,134.062855229169
41.5,134.855154283518,267.70154133838,132.846387054862
41.75,136.725955213885,267.431429482597,130.705474268712
42,137.669317413065,267.37892373161,129.709606318545
42.25,138.36134560367,266.603427260878,128.242081657208
42.5,138.854442346772,266.311624645985,127.457182299212
42.75,139.064253714146,265.563371453252,126.499117739106
43,139.182938472427,264.908526929791,125.725588457363
43.25,140.092684057874,264.447700411948,124.355016354073
43.5,141.352091608537,264.567320961694,123.215229353157
43.75,142.640002464086,263.961470432435,121.32146796835
44,142.528168961805,263.169227354048,120.641058392243
44.25,142.984375234392,262.50228976375,119.517914529359
44.5,143.177726261386,262.236945030244,119.059218768859
44.75,143.735450008866,261.734871347475,117.999421338608
45,144.271537129406,261.580664666027,117.309127536621
45.25,145.068515460215,261.084978251969,116.016462791754
45.5,145.153568316431,260.829904159078,115.676335842647
45.75,146.076650945841,259.830311623432,113.75366067759
46,146.095653872319,258.847736769877,112.752082897558
46.25,146.683209602411,257.650068900302,110.966859297891
46.5,147.198677431444,257.184956619741,109.986279188298
46.75,149.258363767761,257.377789109428,108.119425341667
47,150.120100451907,257.413125962827,107.293025510919
47.25,151.813860756553,256.720147283468,104.906286526915
47.5,151.86848978655,256.188551598058,104.320061811508
47.75,152.147335315841,255.16320438032,103.015869064479
48,152.355239599581,254.626041963267,102.270802363686
48.25,152.051254906352,253.754045595976,101.702790689625
48.5,152.358608770139,253.404258571326,101.045649801187
48.75,152.859301235431,251.825200230054,98.9658989946238
49,152.915637976475,251.205173468471,98.2895354919957
49.25,153.299835887927,250.59678886044,97.296952972513
49.5,153.53322065083,250.464995880611,96.9317752297803
49.75,153.976107784411,249.967203654517,95.9910958701064
50,154.19272098142,249.679580911285,95.4868599298651
50.25,155.025405467928,249.05305548967,94.0276500217416
50.5,155.814135816269,248.87055028334,93.0564144670707
50.75,156.511759050192,248.478801011084,91.9670419608919
51,156.517927884816,248.292381773806,91.7744538889908
51.25,156.844053865303,248.008685980186,91.1646321148839
51.5,156.932121963004,247.544721775554,90.6125998125495
51.75,157.792343886935,246.926830929511,89.134487042576
52,158.325554944844,246.655395914555,88.3298409697107
52.25,158.927409695044,245.823408153798,86.8959984587538
52.5,158.933639667456,245.571035255285,86.6373955878287
52.75,160.543215277618,245.824366740878,85.28115146326
53,161.201023922101,245.703424278833,84.5024003567319
53.25,162.081651690992,245.067213316112,82.9855616251199
53.5,162.595354759255,245.12161600709,82.5262612478342
53.75,163.373210052397,244.897980202347,81.5247701499507
54,163.232662765103,243.56559501746,80.3329322523571
54.25,163.885687077242,243.548957948996,79.6632708717532
54.5,164.225634977541,243.226789364798,79.0011543872574
54.75,165.340502005351,243.162057736945,77.8215557315942
55,165.412683340229,242.812821442556,77.4001381023275
